,name,price,location,rating,cancelation,specifications,link
0,AmazingLakeView ,"$3,874","Locarno, Cantón del Tesino",empty,Cancelación gratuita,Casa ∙ 2 habitaciones ∙ 4 personas,/rental/56079256de7af5468d1cc02a742f7330?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
1,Bijou on the idyllic Untersee,"$1,922","Ermatingen, Cantón de Turgovia",empty,Cancelación gratuita,80 m² Casa ∙ 1 habitación ∙ 3 personas,/rental/b112349d66cf523872425c3de909b013?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
2,"Casa de vacaciones Rustico Diego (MVA114) en Malvaglia - 4 personas, 1 dormitorios","$1,112","Malvaglia, Cantón del Tesino",empty,empty,50 m² Casa ∙ 1 habitación ∙ 4 personas,/rental/5aaa831fd3fe0255b1fc8ead6c096ea2?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A26%2B02%3A00&id=match53e343e53e0d3&directId=5aaa831fd3fe0255b1fc8ead6c096ea2&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956766&clickId=GY3P2MH0TDGF65JR&sT=withDates&pCon=1111.2%7CUSD%7C2021-06-01%7C13%7C2%7C1616956766%7C0%7C0%7C1616956766%7C2%7C0%7C0&prodName=JM&prodSource=Search
3,empty,"$2,085","Riddes, Cantón del Valais",empty,empty,empty,/rental/3ac06a427c59c48c?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A28%2B02%3A00&id=8ad0be8c93f70a00&directId=3ac06a427c59c48c&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956768&clickId=BVLC63YVJ0WR81XV&sT=withDates&pCon=2451.6116119526%7CUSD%7C2021-06-01%7C13%7C2%7C1616956768%7C0%7C0%7C1616956768%7C2%7C0%7C0&prodName=JM&prodSource=Search
4,4 - apartamento Comfort en la residencia de vacaciones Collina d'Oro,"$1,599","Orselina, Cantón del Tesino",empty,Cancelación gratuita,45 m² Apartamento ∙ 1 habitación ∙ 3 personas,/rental/9740f882b856d515d99c5e74244ba2bc?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
5,"Casa de vacaciones Komfort Aclas Maiensäss Resort en Urmein - 6 personas, 2 dormitorios","$1,446","Tschappina, Grisones",empty,empty,58 m² Complejo vacacional ∙ 2 habitaciones ∙ 6 personas,/rental/cea653f9a9fc6d43babfac8255b3633d?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A28%2B02%3A00&id=match53e345874dbff&directId=cea653f9a9fc6d43babfac8255b3633d&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956768&clickId=Z3TP86Q8CWJ1G6V1&sT=withDates&pCon=1446%7CUSD%7C2021-06-01%7C13%7C2%7C1616956768%7C0%7C0%7C1616956768%7C2%7C0%7C0&prodName=JM&prodSource=Search
6,Holiday home directly on the car-free lake promenade with private parking in fro,empty,"Brissago, Cantón del Tesino",empty,Muy solicitado,80 m² Casa ∙ 2 habitaciones ∙ 4 personas,/rental/15bd7a389497a341a0af013315728dfc?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
7,"Apartamento Rosablanche E 108 en Siviez-Nendaz - 4 personas, 2 dormitorios","$1,968","Nendaz, Cantón del Valais",empty,empty,109 m² Complejo vacacional ∙ 2 habitaciones ∙ 4 personas,/rental/4eac06073b84bb16abe64fb8ebc129c0?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A29%2B02%3A00&id=f5468cc6aaa254e0&directId=4eac06073b84bb16abe64fb8ebc129c0&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956769&clickId=LXTQQDLYN39Z05JS&sT=withDates&pCon=1968%7CUSD%7C2021-06-01%7C13%7C2%7C1616956769%7C0%7C0%7C1616956769%7C2%7C0%7C0&prodName=JM&prodSource=Search
8,Una verdadera experiencia del lago,"$2,767","Lugano, Cantón del Tesino",empty,Cancelación gratuita,100 m² Casa ∙ 2 habitaciones ∙ 6 personas,/rental/b8f023f1f5994da2ba62a947d8e912ab?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
9,Chalet Dunys,"$2,106","Grächen, Cantón del Valais",empty,Muy solicitado,114 m² Casa ∙ 2 habitaciones ∙ 4 personas,/rental/9ddaad03de39a7810bdf107b0d4f4fe2?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A28%2B02%3A00&id=match5638e1e42f805&directId=9ddaad03de39a7810bdf107b0d4f4fe2&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956768&clickId=JQX0Y0VBSJHCN8YH&sT=withDates&pCon=2105.9427552495%7CUSD%7C2021-06-01%7C13%7C2%7C1616956768%7C0%7C0%7C1616956768%7C2%7C0%7C0&prodName=JM&prodSource=Search
10,"Apartamento SWISSPEAK Resorts 2 pièces terrace en Vercorin - 4 personas, 1 dormitorios",$911,"Chalais, Cantón del Valais",empty,Hidromasaje,35 m² Complejo vacacional ∙ 1 habitación ∙ 4 personas,/rental/d8b4950abaad28b0059b98f53555c260?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A29%2B02%3A00&id=ccb499b24ed3c105&directId=d8b4950abaad28b0059b98f53555c260&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956769&clickId=W9DJM6XF952PZ8KP&sT=withDates&pCon=910.8%7CUSD%7C2021-06-01%7C13%7C2%7C1616956769%7C0%7C0%7C1616956769%7C2%7C0%7C0&prodName=JM&prodSource=Search
11,Apartamento Barchiröö,"$1,395","Morcote, Cantón del Tesino",empty,empty,47 m² Apartamento ∙ 1 habitación ∙ 3 personas,/rental/f3be3cd4841a21f6e4bee84747e048f8?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A29%2B02%3A00&id=156b6f7a4bf7d287&directId=f3be3cd4841a21f6e4bee84747e048f8&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956769&clickId=PC0L37DVDZXQGVFY&sT=withDates&pCon=1394.4%7CUSD%7C2021-06-01%7C13%7C2%7C1616956769%7C0%7C0%7C1616956769%7C2%7C0%7C0&prodName=JM&prodSource=Search
12,"Casa de vacaciones Rustico 1787 en Pollegio - 5 personas, 2 dormitorios","$1,126","Pollegio, Cantón del Tesino",empty,empty,60 m² Casa ∙ 2 habitaciones ∙ 5 personas,/rental/5045662ceca0df5cd5adab22fc863c2a?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A29%2B02%3A00&id=f5ad818295d69daa&directId=5045662ceca0df5cd5adab22fc863c2a&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956769&clickId=C2M0YLNXLRQKFG73&sT=withDates&pCon=1125.6%7CUSD%7C2021-06-01%7C13%7C2%7C1616956769%7C0%7C0%7C1616956769%7C2%7C0%7C0&prodName=JM&prodSource=Search
13,Apartamento frente al río. Balcón privado con fantásticas vistas. Romanitc!,"$2,546","Ringgenberg, Cantón de Berna",empty,Cancelación gratuita,45 m² Casa ∙ 1 habitación ∙ 2 personas,/rental/fbfb41d5f576389d3b15dc2905e7772d?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
14,Vivian Residenz Apt 505,"$4,489","Locarno, Cantón del Tesino",empty,Muy solicitado,118 m² Apartamento ∙ 2 habitaciones ∙ 4 personas,/rental/ee183341bc557553c895b37dfe46dd17?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A29%2B02%3A00&id=53cbaedcfa866e93&directId=ee183341bc557553c895b37dfe46dd17&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956769&clickId=0GCP8PC37X97YCZD&sT=withDates&pCon=4791.4612667955%7CUSD%7C2021-06-01%7C13%7C2%7C1616956769%7C0%7C0%7C1616956769%7C2%7C0%7C0&prodName=JM&prodSource=Search
15,Apartamento SWISSPEAK Rychenbach wheelchair access,"$2,544","Meiringen, Cantón de Berna",empty,empty,61 m² Complejo vacacional ∙ 2 habitaciones ∙ 6 personas,/rental/7d958b6f422757df8648fd833520539e?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A28%2B02%3A00&id=f82ad89f503cfdc8&directId=7d958b6f422757df8648fd833520539e&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956768&clickId=HKZGRJD5DZWQQJWZ&sT=withDates&pCon=2544%7CUSD%7C2021-06-01%7C13%7C2%7C1616956768%7C0%7C0%7C1616956768%7C2%7C0%7C0&prodName=JM&prodSource=Search
16,Apartamento Attica con gran terraza panorámica y fabulosas vistas del lago,"$3,688","Ronco sopra Ascona, Cantón del Tesino",empty,Cancelación gratuita,110 m² Apartamento ∙ 3 habitaciones ∙ 4 personas,/rental/ee95a9a93f476c9dbac6989d0e31f17d?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
17,Casa de vacaciones Edelweiss,$755,"Saas-Balen, Cantón del Valais",empty,empty,30 m² Complejo vacacional ∙ 1 habitación ∙ 4 personas,/rental/6a2fd4ead6be90984be782da36926d8e?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A30%2B02%3A00&id=4dca8171c56a2c50&directId=6a2fd4ead6be90984be782da36926d8e&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956770&clickId=0N7MQ55DNZH9W3V4&sT=withDates&pCon=906.46%7CUSD%7C2021-06-01%7C13%7C2%7C1616956770%7C0%7C0%7C1616956770%7C2%7C0%7C0&prodName=JM&prodSource=Search
18,Grosshus Vals,"$1,869","Vals, Grisones",empty,empty,68 m² Apartamento ∙ 2 habitaciones ∙ 5 personas,/rental/match55ec747cc2b8a?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
19,Le Gite de Briey,$962,"Chalais, Cantón del Valais",empty,Cancelación gratuita,45 m² Casa ∙ 2 personas,/rental/5a0617bd7e5edd027a4a8ba656524c72?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
20,La cabane de l homme tranquille,"$1,384","Salvan, Cantón del Valais",empty,empty,36 m² Casa ∙ 1 habitación ∙ 4 personas,/rental/b72b2e628f48d5c45ef513e930eff8bb?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
21,Abelied,"$1,938","Adelboden, Cantón de Berna",empty,Cancelación gratuita,65 m² Casa ∙ 2 habitaciones ∙ 5 personas,/rental/baa007f69b67ca1559fa80b805120142?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
22,Wohnung Bemer-Rempfler,"$1,673","Lungern, Cantón de Obwalden",empty,Muy solicitado,68 m² Apartamento ∙ 1 habitación ∙ 4 personas,/rental/213c8e1abe417b3e40fb5d95eff47227?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A30%2B02%3A00&id=match563b922ce5af5&directId=213c8e1abe417b3e40fb5d95eff47227&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956770&clickId=PNJWZ71XP37JHCFN&sT=withDates&pCon=1776.1457345495%7CUSD%7C2021-06-01%7C13%7C2%7C1616956770%7C0%7C0%7C1616956770%7C2%7C0%7C0&prodName=JM&prodSource=Search
23,Chalet Lombardie,"$1,405","Nendaz, Cantón del Valais",empty,empty,45 m² Casa ∙ 1 habitación ∙ 3 personas,/rental/2c8ed77ce078d77c798248342014efa9?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
24,Apartamento Casa Zappa,"$2,361","Brusino Arsizio, Cantón del Tesino",empty,empty,125 m² Apartamento ∙ 4 habitaciones ∙ 7 personas,/rental/520619ba4ef0b0ab6b31709ef6fdace8?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A31%2B02%3A00&id=fd769c99f6c4e756&directId=520619ba4ef0b0ab6b31709ef6fdace8&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956771&clickId=NJ2YSQRBNY7HNKXS&sT=withDates&pCon=2360.4%7CUSD%7C2021-06-01%7C13%7C2%7C1616956771%7C0%7C0%7C1616956771%7C2%7C0%7C0&prodName=JM&prodSource=Search
25,Chalet Z' Flesche,"$1,638","Zermatt, Cantón del Valais",empty,Cancelación gratuita,50 m² Chalet ∙ 2 habitaciones ∙ 4 personas,/rental/match56e17b6dbe9d1?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
26,Chalet Wiesehockli,"$2,076","Quarten, Sankt Gallen",empty,Hidromasaje,30 m² Casa ∙ 2 habitaciones ∙ 4 personas,/rental/845a5d94df6b744f7bc5ca267f8ecb0d?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
27,"""Hüttli"" neben dem Bauernhof Fendrig","$1,061","Schlatt-Haslen, Appenzell Rodas Interiores",empty,Muy solicitado,86 m² Apartamento ∙ 2 habitaciones ∙ 5 personas,/rental/76508899cab6d1e2688211ffa3d0878e?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A28%2B02%3A00&id=match563b76ca6e912&directId=76508899cab6d1e2688211ffa3d0878e&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956768&clickId=CZV85P5R8K8G9JQN&sT=withDates&pCon=1215.0262610689%7CUSD%7C2021-06-01%7C13%7C2%7C1616956768%7C0%7C0%7C1616956768%7C2%7C0%7C0&prodName=JM&prodSource=Search
28,"Apartamento SWISSPEAK Resorts Besso en Zinal - 4 personas, 1 dormitorios",$812,"Ayer, Cantón del Valais",empty,empty,35 m² Complejo vacacional ∙ 1 habitación ∙ 4 personas,/rental/53e668e443c9037577dd091dfb9fe863?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A31%2B02%3A00&id=ef66d45ceb324294&directId=53e668e443c9037577dd091dfb9fe863&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956771&clickId=RPXZXBJJDQ7CPPS0&sT=withDates&pCon=811.2%7CUSD%7C2021-06-01%7C13%7C2%7C1616956771%7C0%7C0%7C1616956771%7C2%7C0%7C0&prodName=JM&prodSource=Search
29,Rustico ai Monti,"$1,766","Cadenazzo, Cantón del Tesino",empty,Cancelación gratuita,65 m² Apartamento ∙ 2 habitaciones ∙ 4 personas,/rental/dce4f2a9c0fa94355bafbc547a0e2831?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
30,Casa de vacaciones Rustico Ginetta,"$1,707","Malvaglia, Cantón del Tesino",empty,empty,60 m² Casa ∙ 2 habitaciones ∙ 5 personas,/rental/f49d3ecf4965b1227af193b33c2dd27c?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A31%2B02%3A00&id=fa0c417dbe18da23&directId=f49d3ecf4965b1227af193b33c2dd27c&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956771&clickId=P18H46WJ1XDBMH5G&sT=withDates&pCon=1706.4%7CUSD%7C2021-06-01%7C13%7C2%7C1616956771%7C0%7C0%7C1616956771%7C2%7C0%7C0&prodName=JM&prodSource=Search
31,Upea pieni mökki panoraamahuoneella,"$1,230","Riddes, Cantón del Valais",empty,Cancelación gratuita,58 m² Casa ∙ 2 habitaciones ∙ 4 personas,/rental/0255007927f4a006849ee2ec80ae7960?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
